EmployeeID,Name,Gender,Age,Department,JobRole,EducationLevel,JoiningDate,CountryCode,Country,PhoneNumber,MonthlySalary,OvertimeHoursPerMonth,LeavesTaken,LastLeaveDate,LeaveDayName,ProjectsHandled,TrainingHours,CustomerSatisfaction,LastPromotionYear,YearsAtCompany,WorkLifeBalanceScore,PerformanceRating,AttritionRisk,CustomerSatisfaction_missing
39,William Meyer,Other,22,Finance,Auditor,1,26-03-2011,44,UK,4135695910,73324,21,30,08-05-2024,Wednesday,10,36,5.0,2023,14,0.8,3,No,1
40,Matthew Maldonado,Male,39,Finance,Auditor,3,22-05-2012,1,USA,9445734465,163576,12,10,16-08-2024,Friday,10,76,5.0,2016,13,5.93,3,No,1
41,Julia Cobb,Male,22,Sales,Account Manager,2,03-10-2016,1,USA,3270385747,49953,14,0,18-04-2024,Thursday,10,78,9.0,2019,9,7.2,3,No,0
42,Nicholas Oliver,Female,41,Marketing,Content Lead,2,06-01-2019,49,Germany,5900267155,108906,8,7,18-01-2024,Thursday,7,56,5.0,2024,6,7.23,3,No,1
43,Whitney Crosby,Male,23,Marketing,Content Lead,5,17-10-2010,1,Canada,386542950,78457,7,24,19-08-2024,Monday,6,62,5.0,2022,15,4.6,5,No,1
44,Carlos Wall,Female,55,IT,Engineer,5,05-08-2011,1,Canada,7390380839,37533,22,30,28-02-2024,Wednesday,4,61,5.0,2015,14,0.6,4,Yes,1
45,Jerry Walker,Female,33,Finance,Accountant,5,28-02-2018,44,UK,9204861242,171225,23,29,26-07-2024,Friday,8,53,5.0,2024,7,0.57,4,No,1
46,Charles Le,Male,21,IT,Developer,3,15-08-2016,91,India,5017239668,101051,34,15,24-03-2024,Sunday,7,49,5.0,2019,9,0.7,1,No,1
47,Amy Peterson PhD,Other,33,Sales,Account Manager,2,24-07-2018,33,France,1561103832,50654,38,30,11-05-2024,Saturday,1,26,7.0,2018,7,-2.6,4,Yes,0
48,Kimberly Campbell,Other,22,Sales,Sales Executive,5,17-05-2018,44,UK,6058930288,71622,27,26,28-10-2024,Monday,12,20,8.0,2023,7,0.27,4,No,0
49,Daniel Smith,Male,23,Support,Helpdesk,5,07-04-2021,1,USA,8855702899,132390,14,16,27-01-2024,Saturday,14,45,2.0,2023,4,4.53,4,No,0
50,Steve Henry,Female,54,IT,Tester,5,12-07-2023,44,UK,9174443288,179351,40,23,05-04-2024,Friday,14,18,5.0,2023,2,-1.83,3,No,1
51,John Logan,Female,57,Sales,Sales Executive,3,26-06-2015,1,Canada,4338863500,50691,27,13,19-07-2024,Friday,10,21,3.0,2022,10,2.43,4,Yes,0
52,Thomas Ellis,Other,52,Support,Support Engineer,2,19-04-2011,49,Germany,314499755,163863,37,23,12-08-2024,Monday,3,50,1.0,2016,14,-1.23,4,Yes,0
53,Amanda White,Male,36,Marketing,SEO Analyst,1,08-06-2021,33,France,856608915,134280,2,3,24-02-2024,Saturday,14,35,5.0,2024,4,9.1,5,No,1
54,Nicholas Anderson,Female,52,Finance,Auditor,2,26-09-2011,44,UK,2947126467,38519,6,14,14-04-2024,Sunday,12,64,5.0,2024,14,6.47,2,No,1
55,Cassandra Knight,Female,35,Finance,Accountant,2,11-02-2021,1,USA,195741970,153394,34,12,15-07-2024,Monday,12,5,5.0,2023,4,1.2,3,No,1
56,Jessica Reeves,Male,48,IT,Developer,1,11-10-2018,44,UK,6789507803,42964,1,13,17-11-2024,Sunday,5,22,5.0,2018,7,7.63,2,No,1
57,Mikayla Black,Other,30,IT,Developer,3,27-07-2019,33,France,3299457293,52745,16,14,23-10-2024,Wednesday,7,41,5.0,2023,6,4.47,1,No,1
58,Justin Wang,Other,34,Support,Helpdesk,5,09-07-2012,1,Canada,8177916875,37431,4,8,27-07-2024,Saturday,2,60,9.0,2021,13,7.87,3,No,0
59,Kevin Moreno,Male,22,Marketing,SEO Analyst,1,10-01-2022,44,UK,7188076264,124008,28,29,06-11-2024,Wednesday,6,51,5.0,2022,3,-0.43,4,No,1
60,John Lewis,Male,48,HR,HR Executive,2,11-11-2017,91,India,8886046083,128442,18,1,01-11-2024,Friday,10,36,5.0,2021,8,6.23,4,No,1
61,Heather Sosa,Other,57,HR,HR Manager,3,14-09-2015,1,USA,6140020793,137226,36,1,03-10-2024,Thursday,15,58,5.0,2021,10,2.63,2,No,1
62,Phillip Hunter,Female,48,IT,Tester,5,05-02-2020,33,France,485273657,150377,18,19,12-03-2024,Tuesday,8,19,5.0,2022,5,3.23,4,No,1
63,Courtney Ayala,Female,27,HR,HR Manager,2,09-04-2012,1,Canada,5522793615,161874,2,7,18-11-2024,Monday,11,53,5.0,2015,13,8.43,5,No,1
64,Tammy Ramirez,Female,32,Support,Helpdesk,5,13-02-2019,44,UK,3959946337,39558,19,19,21-12-2024,Saturday,15,50,3.0,2022,6,3.03,3,Yes,0
65,James Morgan,Male,60,Sales,Account Manager,1,22-03-2013,33,France,823772322,49620,29,4,25-07-2024,Thursday,5,76,4.0,2013,12,3.53,3,Yes,0
66,Cody Barker,Female,34,Marketing,Content Lead,3,11-04-2021,1,Canada,6763147839,86861,30,0,10-08-2024,Saturday,1,25,5.0,2024,4,4.0,3,No,1
67,David Smith,Female,22,Sales,Sales Executive,3,28-03-2023,91,India,941640426,155851,1,30,22-11-2024,Friday,12,44,1.0,2024,2,4.8,4,No,0
68,Amber Church,Female,21,Sales,Sales Executive,1,08-01-2011,44,UK,4688879859,72637,31,27,04-09-2024,Wednesday,7,70,6.0,2021,14,-0.7,2,Yes,0
69,Tammy Perry,Female,26,Sales,Account Manager,1,13-12-2012,44,UK,9056058680,151643,1,1,10-01-2024,Wednesday,5,35,1.0,2024,13,9.63,4,No,0
70,Sherry Cox,Female,37,Finance,Accountant,3,26-06-2015,1,Canada,3583953106,155727,26,30,25-08-2024,Sunday,3,46,5.0,2020,10,-0.2,2,Yes,1
71,John Turner,Female,55,HR,HR Executive,1,18-09-2018,1,Canada,9922658683,71487,9,12,06-08-2024,Tuesday,7,39,5.0,2023,7,6.2,5,No,1
72,Brian Boyle,Female,23,Marketing,Content Lead,3,24-02-2011,1,Canada,9651175181,169631,0,9,01-01-2024,Monday,7,23,5.0,2012,14,8.5,4,No,1
73,Peggy Hawkins,Male,29,IT,Developer,5,01-02-2021,91,India,9350714646,56935,36,29,19-12-2024,Thursday,6,50,5.0,2024,4,-2.03,4,No,1
74,Jared Montgomery,Female,32,Sales,Sales Executive,3,23-01-2023,44,UK,2872431941,68664,21,9,02-11-2024,Saturday,14,79,4.0,2023,2,4.3,3,No,0
75,Thomas Clark,Other,31,IT,Developer,2,07-01-2014,49,Germany,7739325713,129732,29,2,16-10-2024,Wednesday,11,58,5.0,2016,11,3.87,4,No,1
76,Kyle Moyer,Female,21,HR,HR Manager,2,05-05-2014,91,India,5987912952,36008,11,6,23-11-2024,Saturday,5,55,5.0,2016,11,6.8,2,No,1
77,Crystal Stevens,Other,25,Sales,Sales Executive,2,17-04-2013,44,UK,6983113185,163071,15,7,06-09-2024,Friday,8,60,5.0,2016,12,5.83,4,No,0
78,Austin Reynolds,Other,26,Sales,Sales Executive,1,28-03-2022,49,Germany,2329303422,44713,21,27,17-08-2024,Saturday,2,48,5.0,2024,3,1.3,3,Yes,0
79,Teresa Coleman,Male,46,Marketing,Content Lead,3,14-01-2021,1,USA,7963243733,73718,10,4,27-12-2024,Friday,9,34,5.0,2022,4,7.33,4,No,1
80,Maria Tucker,Other,47,HR,HR Manager,4,24-03-2014,91,India,9877000345,142815,21,13,16-07-2024,Tuesday,15,22,5.0,2023,11,3.63,2,No,1
81,Louis Mcknight,Male,43,Support,Helpdesk,4,11-10-2014,1,Canada,6747697865,82938,18,17,21-02-2024,Wednesday,7,16,4.0,2015,11,3.57,4,No,0
82,Jerry Jones,Female,22,IT,Engineer,3,08-07-2020,44,UK,7845291186,32356,15,4,09-08-2024,Friday,12,74,5.0,2020,5,6.33,2,No,1
83,Erik Liu,Other,28,IT,Developer,5,01-03-2020,49,Germany,5614254608,150136,31,14,09-10-2024,Wednesday,2,71,5.0,2023,5,1.47,4,No,1
84,Cynthia Fritz,Female,51,Finance,Auditor,5,26-04-2021,1,Canada,1695816744,103550,13,23,11-10-2024,Friday,9,53,5.0,2024,4,3.57,3,Yes,1
85,Phillip Hayes,Other,31,Sales,Sales Executive,3,19-07-2020,1,Canada,4238793415,145121,23,22,02-09-2024,Monday,13,34,4.0,2024,5,1.73,2,No,0
86,Jenny Lee,Male,54,Sales,Sales Executive,4,06-09-2017,49,Germany,1117359071,152976,8,19,16-03-2024,Saturday,9,45,4.0,2024,8,5.23,3,No,0
87,Jonathan Oliver,Male,44,Support,Support Engineer,4,26-04-2020,33,France,7176588291,43063,5,9,08-08-2024,Thursday,13,46,4.0,2022,5,7.5,3,No,0
88,Cynthia Bradley,Male,30,Marketing,Content Lead,2,26-03-2013,1,Canada,4318486225,33987,21,16,14-07-2024,Sunday,9,57,5.0,2014,12,3.13,4,No,1
89,David Johnson,Female,44,Marketing,SEO Analyst,3,06-04-2014,91,India,4979289818,145588,26,22,02-01-2024,Tuesday,7,31,5.0,2020,11,1.13,3,No,1
90,Joan Smith,Other,32,Finance,Auditor,4,10-02-2023,33,France,1820163736,43235,38,12,15-04-2024,Monday,6,23,5.0,2023,2,0.4,3,Yes,1
91,Richard Fuller,Other,60,IT,Tester,4,16-10-2021,49,Germany,6486318394,56904,31,7,14-10-2024,Monday,15,37,5.0,2021,4,2.63,3,No,1
92,Spencer Kennedy,Female,26,Finance,Accountant,1,12-03-2023,1,USA,9786956994,62833,10,3,26-04-2024,Friday,5,63,5.0,2024,2,7.5,5,No,1
93,Daniel Williams,Other,22,Sales,Account Manager,5,06-12-2021,33,France,5040674588,133108,16,2,05-01-2024,Friday,11,47,5.0,2022,4,6.47,3,Yes,0
94,Bonnie Robinson,Male,35,Support,Helpdesk,1,07-12-2020,1,USA,1513881007,65954,17,22,27-03-2024,Wednesday,3,41,5.0,2024,5,2.93,3,No,0
95,Amy Bowers,Female,58,Support,Support Engineer,4,26-11-2018,91,India,5244147522,99805,6,23,23-03-2024,Saturday,15,6,10.0,2020,7,4.97,4,No,0
96,Cody Jackson,Female,43,Marketing,Content Lead,1,10-02-2011,1,Canada,1511401995,156104,2,0,22-03-2024,Friday,12,20,5.0,2011,14,9.6,3,No,1
97,Darlene Neal,Female,34,HR,HR Manager,4,14-02-2022,33,France,6075902282,115105,29,12,28-02-2024,Wednesday,15,19,5.0,2022,3,2.2,3,No,1
98,Joshua Garcia,Female,52,Marketing,Content Lead,5,11-01-2015,33,France,3221984399,77462,22,18,12-04-2024,Friday,14,65,5.0,2021,10,2.6,3,No,1
99,Peggy French,Female,58,HR,HR Executive,3,22-10-2013,1,USA,1038317657,136059,1,18,05-12-2024,Thursday,12,69,5.0,2024,12,6.8,4,No,1
100,Sean Davis DDS,Male,29,Sales,Account Manager,5,18-04-2019,91,India,3249070690,152981,14,9,10-02-2024,Saturday,15,9,7.0,2019,6,5.7,3,No,0
101,Denise Rush,Other,43,HR,HR Manager,2,07-12-2014,1,USA,7308120630,107081,31,29,09-05-2024,Thursday,15,80,5.0,2014,11,-1.03,3,Yes,1
102,Matthew Glenn,Female,30,HR,HR Executive,2,18-05-2011,91,India,9224209451,172259,38,22,18-06-2024,Tuesday,2,62,5.0,2012,14,-1.27,5,No,1
103,Kathleen Reed,Female,51,Sales,Account Manager,2,13-06-2014,1,USA,2520920357,50979,31,25,06-02-2024,Tuesday,13,52,2.0,2019,11,-0.37,4,No,0
104,Samuel Fletcher,Female,27,Support,Support Engineer,5,24-05-2016,1,Canada,4037042671,98130,12,20,26-12-2024,Thursday,10,19,7.0,2020,9,4.27,4,Yes,0
105,Debra Holt,Other,59,Marketing,SEO Analyst,4,13-11-2018,1,Canada,5147570630,117953,34,7,11-06-2024,Tuesday,15,8,5.0,2019,7,2.03,3,No,1
106,Jennifer Roberts,Female,31,Finance,Accountant,4,20-01-2018,1,USA,580368469,149459,23,24,13-06-2024,Thursday,3,66,5.0,2020,7,1.4,2,Yes,1
107,Kaitlyn Kramer,Other,33,IT,Developer,5,06-09-2012,91,India,8068783545,68241,16,6,25-04-2024,Thursday,6,41,5.0,2020,13,5.8,5,No,1
108,Paul Kennedy,Female,51,HR,HR Executive,4,23-05-2018,1,USA,852413579,47360,13,17,15-02-2024,Thursday,4,69,5.0,2023,7,4.57,4,No,1
109,Joshua Eaton,Other,49,Support,Support Engineer,5,17-10-2018,1,USA,8485840436,126122,5,20,09-01-2024,Tuesday,13,67,5.0,2018,7,5.67,4,No,0
110,David Guerrero,Other,33,IT,Developer,2,12-09-2012,33,France,653451854,77857,7,13,20-03-2024,Wednesday,9,61,5.0,2016,13,6.43,4,No,1
111,Brian Wilson,Male,53,Support,Helpdesk,4,06-07-2021,1,Canada,2814737348,50520,33,17,13-04-2024,Saturday,3,50,4.0,2021,4,0.57,3,Yes,0
112,Alexis Petty,Male,49,IT,Engineer,2,20-06-2010,49,Germany,1568901642,113247,34,9,22-10-2024,Tuesday,4,30,5.0,2010,15,1.7,1,Yes,1
113,David Matthews,Male,39,IT,Developer,5,23-11-2014,1,Canada,2716612207,74074,17,30,23-08-2024,Friday,7,45,5.0,2014,11,1.6,3,No,1
114,Melissa Snyder,Male,59,Support,Helpdesk,2,06-01-2023,49,Germany,9066591048,152599,27,5,19-08-2024,Monday,7,64,2.0,2023,2,3.77,4,No,0
115,Dan Sullivan,Male,33,Sales,Account Manager,5,05-03-2022,1,Canada,6758118761,156093,0,1,15-08-2024,Thursday,6,37,4.0,2022,3,9.83,3,No,0
116,Christine Burton,Other,22,Support,Helpdesk,4,10-05-2010,49,Germany,4239843752,153900,16,3,05-11-2024,Tuesday,2,8,7.0,2022,15,6.3,3,No,0
117,Daniel Thomas,Other,43,Marketing,SEO Analyst,4,27-03-2012,1,USA,8940789472,168316,29,1,23-02-2024,Friday,14,74,5.0,2023,13,4.03,2,No,1
118,Paige Ortiz,Female,52,HR,HR Executive,4,19-11-2013,44,UK,4798311105,31840,29,30,24-04-2024,Wednesday,4,59,5.0,2017,12,-0.8,2,No,1
119,Brett Booth,Female,31,Finance,Auditor,3,12-07-2022,33,France,5224570095,44728,6,7,16-01-2024,Tuesday,4,33,5.0,2023,3,7.63,3,No,1
120,Christopher Stone,Other,59,Sales,Sales Executive,1,01-10-2010,33,France,79680184,144337,30,28,18-05-2024,Saturday,2,6,1.0,2024,15,-0.67,3,Yes,0
121,Larry Craig,Male,45,IT,Developer,3,21-07-2013,1,USA,153493196,78575,39,22,19-08-2024,Monday,10,60,5.0,2022,12,-1.47,2,No,1
122,William Lee,Male,59,Support,Support Engineer,4,13-04-2014,44,UK,5034755729,121058,19,6,04-05-2024,Saturday,4,35,10.0,2019,11,5.2,3,No,0
123,Vicki Young,Female,49,Finance,Auditor,4,02-05-2018,91,India,437696006,151344,12,22,20-01-2024,Saturday,15,51,5.0,2021,7,3.93,4,No,1
124,Tara Lloyd,Female,44,IT,Engineer,5,17-11-2022,1,USA,8730000204,67225,15,3,03-01-2024,Wednesday,4,42,5.0,2024,3,6.5,3,No,1
125,Elizabeth Hunt,Female,22,Finance,Accountant,2,27-08-2015,1,USA,6916151883,172135,0,13,16-02-2024,Friday,6,21,5.0,2023,10,7.83,4,No,1
126,Jennifer Perkins,Male,60,IT,Developer,2,12-01-2017,1,Canada,6409879093,91931,18,1,13-12-2024,Friday,6,49,5.0,2023,8,6.23,3,No,1
127,Amanda Martin,Female,25,Sales,Sales Executive,1,01-06-2011,49,Germany,9036907880,89066,4,5,17-07-2024,Wednesday,7,73,5.0,2015,14,8.37,3,No,0
128,Michelle Christensen,Other,47,HR,HR Executive,2,03-01-2020,49,Germany,8252273685,72561,22,19,18-01-2024,Thursday,14,66,5.0,2024,5,2.43,3,No,1
129,Christina Romero,Female,56,Support,Support Engineer,3,09-07-2017,91,India,3664738504,68809,29,17,28-06-2024,Friday,13,12,1.0,2017,8,1.37,4,No,0
130,Leah Smith,Female,35,IT,Tester,5,22-03-2018,33,France,8370570897,93279,2,14,28-09-2024,Saturday,13,35,5.0,2022,7,7.27,5,No,1
131,Kenneth Jacobs,Female,27,Support,Helpdesk,3,02-10-2015,1,USA,6255968515,55650,9,4,14-07-2024,Sunday,14,18,1.0,2019,10,7.53,3,No,0
132,Robert Smith,Other,59,HR,HR Executive,1,21-12-2018,1,USA,9202581526,74552,11,5,06-06-2024,Thursday,11,8,5.0,2021,7,6.97,5,No,1
133,Jamie Morgan,Other,55,Finance,Auditor,5,09-09-2019,44,UK,5681556970,145869,22,5,08-11-2024,Friday,3,29,5.0,2020,6,4.77,5,No,1
134,Shaun Diaz,Male,45,HR,HR Manager,4,11-04-2014,1,USA,869155906,148129,9,19,05-11-2024,Tuesday,14,8,5.0,2022,11,5.03,3,No,1
135,Christy Sanders,Female,38,Marketing,Content Lead,3,23-12-2011,1,USA,6484525060,44652,9,18,26-12-2024,Thursday,12,50,5.0,2012,14,5.2,3,No,1
136,Gerald Simmons,Male,39,Marketing,SEO Analyst,2,27-06-2023,44,UK,1962093789,178756,27,12,21-01-2024,Sunday,13,76,5.0,2024,2,2.6,5,No,1
137,Nathaniel Bryant II,Female,56,Finance,Auditor,5,28-12-2016,1,USA,3515157845,110538,32,3,21-09-2024,Saturday,4,38,5.0,2018,9,3.1,3,No,1
138,Krista Kennedy,Female,40,IT,Engineer,5,22-03-2013,1,USA,9807774783,39286,12,25,18-04-2024,Thursday,11,52,5.0,2019,12,3.43,4,No,1
139,Amanda Smith,Male,30,IT,Developer,4,18-11-2021,33,France,4865989878,55595,4,13,11-05-2024,Saturday,6,36,5.0,2021,4,7.03,4,No,1
140,Dawn Burnett,Other,56,Sales,Account Manager,5,28-06-2022,91,India,1074758757,168010,32,17,07-09-2024,Saturday,14,65,1.0,2022,3,0.77,5,No,0
141,Linda Hernandez,Other,50,IT,Tester,3,12-11-2015,33,France,1661239513,71526,24,7,21-06-2024,Friday,3,10,5.0,2022,10,4.03,2,Yes,1
142,Joshua Shaw,Male,23,Sales,Account Manager,1,12-02-2018,44,UK,3532368724,152981,3,8,06-05-2024,Monday,14,56,9.0,2020,7,8.07,4,No,0
143,Timothy Andrade,Other,51,Support,Helpdesk,5,03-12-2019,91,India,6086404161,60483,16,23,06-12-2024,Friday,8,38,6.0,2021,6,2.97,3,No,0
144,Kelsey Nichols,Other,53,Sales,Account Manager,2,15-08-2021,49,Germany,8279117589,37564,10,0,12-02-2024,Monday,2,41,10.0,2021,4,8.0,3,No,0
145,Garrett Garcia,Male,52,Support,Support Engineer,2,14-11-2021,1,USA,3615338133,103473,11,0,11-01-2024,Thursday,5,80,5.0,2023,4,7.8,3,No,0
146,John Brown,Male,43,HR,HR Manager,5,18-01-2011,44,UK,8342776059,98618,6,1,20-12-2024,Friday,8,42,5.0,2021,14,8.63,3,No,1
147,Brian Foster,Other,28,Sales,Account Manager,2,01-07-2015,33,France,2635632250,69768,21,8,10-11-2024,Sunday,4,13,1.0,2019,10,4.47,4,Yes,0
148,Daniel Lam,Other,32,Sales,Account Manager,4,04-09-2014,1,USA,1672748888,124262,16,27,05-07-2024,Friday,1,76,8.0,2022,11,2.3,4,No,0
149,Antonio Myers,Female,48,Support,Support Engineer,1,04-05-2014,1,USA,4514876802,31181,32,1,28-07-2024,Sunday,10,15,10.0,2015,11,3.43,3,No,0
150,Mary Fowler,Male,48,Marketing,Content Lead,2,20-08-2015,44,UK,4005304328,139956,35,0,17-08-2024,Saturday,10,10,5.0,2019,10,3.0,3,No,1
151,David Wright,Other,34,HR,HR Executive,2,17-04-2019,49,Germany,7224920410,53489,23,27,07-10-2024,Monday,3,51,5.0,2019,6,0.9,3,No,1
152,Nancy Jones,Other,34,Sales,Account Manager,1,16-02-2020,1,Canada,8266149618,123313,12,21,14-12-2024,Saturday,5,25,7.0,2020,5,4.1,4,Yes,0
153,Robert Stone,Other,52,IT,Tester,5,08-01-2021,1,USA,4006855728,34410,3,8,07-01-2024,Sunday,3,26,5.0,2022,4,8.07,4,No,1
154,Kelli Ashley,Male,54,Marketing,SEO Analyst,2,01-06-2016,33,France,887821115,35504,30,20,18-08-2024,Sunday,9,8,5.0,2018,9,0.67,4,No,1
155,Austin Middleton,Other,41,HR,HR Executive,4,21-10-2017,1,USA,1285235101,47809,37,20,07-09-2024,Saturday,2,71,5.0,2023,8,-0.73,4,No,1
156,Aaron Franklin,Male,33,IT,Developer,1,26-01-2023,49,Germany,1147094489,152793,30,14,16-09-2024,Monday,11,51,5.0,2023,2,1.67,3,Yes,1
157,Robert Sweeney,Male,51,HR,HR Executive,2,05-08-2017,44,UK,5061619629,144222,23,16,07-09-2024,Saturday,15,75,5.0,2023,8,2.73,4,No,1
