employee_id,name,department,job_role,matched_skills,missing_skills,total_required_skills,total_matched_skills,missing_skills_count,skill_gap_percentage,readiness_score
23,Ashley Marsh,IT,Tester,Api Testing; Python; Selenium; Unit Testing,Jira; Test Automation,6,4,2,33.33,66.67
24,Jasmine Gonzalez,IT,Tester,Api Testing; Python; Selenium,Jira; Test Automation; Unit Testing,6,3,3,50.0,50.0
25,Sharon Lane,Marketing,Content Lead,Content Strategy; Editorial Planning; Seo; Team Leadership,Brand Storytelling; Copywriting,6,4,2,33.33,66.67
26,David Maldonado,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics,Google Search Console; Keyword Research; Technical Seo,5,2,3,60.0,40.0
27,Sheryl Lopez,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Crm; Negotiation,Lead Generation,6,5,1,16.67,83.33
28,Patricia Jones,Marketing,Content Lead,Content Strategy; Copywriting; Seo,Brand Storytelling; Editorial Planning; Team Leadership,6,3,3,50.0,50.0
29,Samantha Conley,Finance,Accountant,Auditing; Excel; Financial Accounting; Quickbooks; Tax Compliance,Erp Systems,6,5,1,16.67,83.33
30,Matthew Gutierrez,Support,Support Engineer,Customer Support; Itil; Linux; Sql; Troubleshooting,Bash Scripting,6,5,1,16.67,83.33
31,Nicholas Duncan,IT,Developer,Docker; Rest Apis; Sql; System Design,Git; Python,6,4,2,33.33,66.67
32,Andrew Contreras,Marketing,Content Lead,Content Strategy; Copywriting; Editorial Planning; Team Leadership,Brand Storytelling; Seo,6,4,2,33.33,66.67
33,Ashley Hall,IT,Tester,Api Testing; Jira; Selenium; Unit Testing,Python; Test Automation,6,4,2,33.33,66.67
34,Justin Lawrence,IT,Engineer,Cloud Infrastructure; Git; Networking; Security,Linux; Python,6,4,2,33.33,66.67
35,Jessica Jones,Marketing,SEO Analyst,Google Analytics; Google Search Console; Keyword Research,Ahrefs / Semrush; Technical Seo,5,3,2,40.0,60.0
36,Maria Smith,Finance,Auditor,Excel; Financial Analysis; Internal Auditing; Risk Assessment,Compliance; Forensic Accounting,6,4,2,33.33,66.67
37,Bryan Garcia,Marketing,Content Lead,Content Strategy; Copywriting; Editorial Planning; Team Leadership,Brand Storytelling; Seo,6,4,2,33.33,66.67
38,Breanna Chapman,Finance,Accountant,Auditing; Erp Systems; Excel; Financial Accounting; Quickbooks,Tax Compliance,6,5,1,16.67,83.33
39,William Meyer,Finance,Auditor,Compliance; Excel; Financial Analysis; Forensic Accounting; Internal Auditing,Risk Assessment,6,5,1,16.67,83.33
40,Matthew Maldonado,Finance,Auditor,Compliance; Excel; Forensic Accounting; Internal Auditing; Risk Assessment,Financial Analysis,6,5,1,16.67,83.33
41,Julia Cobb,Sales,Account Manager,Account Planning; Contract Negotiation; Crm (Salesforce),Client Retention; Upselling,5,3,2,40.0,60.0
42,Nicholas Oliver,Marketing,Content Lead,Content Strategy; Copywriting; Editorial Planning; Team Leadership,Brand Storytelling; Seo,6,4,2,33.33,66.67
43,Whitney Crosby,Marketing,Content Lead,Content Strategy; Copywriting; Editorial Planning; Seo; Team Leadership,Brand Storytelling,6,5,1,16.67,83.33
44,Carlos Wall,IT,Engineer,Cloud Infrastructure; Git; Linux; Networking; Python,Security,6,5,1,16.67,83.33
45,Jerry Walker,Finance,Accountant,Auditing; Excel; Financial Accounting; Tax Compliance,Erp Systems; Quickbooks,6,4,2,33.33,66.67
46,Charles Le,IT,Developer,Docker; Git; Rest Apis; Sql,Python; System Design,6,4,2,33.33,66.67
47,Amy Peterson PhD,Sales,Account Manager,Account Planning; Crm (Salesforce); Upselling,Client Retention; Contract Negotiation,5,3,2,40.0,60.0
48,Kimberly Campbell,Sales,Sales Executive,Communication; Contract Closing; Crm; Negotiation,B2B Sales; Lead Generation,6,4,2,33.33,66.67
49,Daniel Smith,Support,Helpdesk,Active Directory; Customer Service; Ticketing Systems,Hardware Support; Windows Os,5,3,2,40.0,60.0
50,Steve Henry,IT,Tester,Python; Selenium; Unit Testing,Api Testing; Jira; Test Automation,6,3,3,50.0,50.0
51,John Logan,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Lead Generation; Negotiation,Crm,6,5,1,16.67,83.33
52,Thomas Ellis,Support,Support Engineer,Customer Support; Itil; Linux; Sql; Troubleshooting,Bash Scripting,6,5,1,16.67,83.33
53,Amanda White,Marketing,SEO Analyst,Ahrefs / Semrush; Google Search Console; Keyword Research,Google Analytics; Technical Seo,5,3,2,40.0,60.0
54,Nicholas Anderson,Finance,Auditor,Compliance; Excel; Financial Analysis; Internal Auditing; Risk Assessment,Forensic Accounting,6,5,1,16.67,83.33
55,Cassandra Knight,Finance,Accountant,Auditing; Financial Accounting; Tax Compliance,Erp Systems; Excel; Quickbooks,6,3,3,50.0,50.0
56,Jessica Reeves,IT,Developer,Docker; Git; Python; Sql,Rest Apis; System Design,6,4,2,33.33,66.67
57,Mikayla Black,IT,Developer,Docker; Rest Apis; Sql,Git; Python; System Design,6,3,3,50.0,50.0
58,Justin Wang,Support,Helpdesk,Active Directory; Customer Service; Hardware Support; Windows Os,Ticketing Systems,5,4,1,20.0,80.0
59,Kevin Moreno,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics; Google Search Console,Keyword Research; Technical Seo,5,3,2,40.0,60.0
60,John Lewis,HR,HR Executive,Communication; Hr Operations; Hris; Recruitment,Onboarding,5,4,1,20.0,80.0
61,Heather Sosa,HR,HR Manager,Employee Relations; Labor Law; Leadership; Talent Acquisition,Hris; Performance Management,6,4,2,33.33,66.67
62,Phillip Hunter,IT,Tester,Api Testing; Jira; Python; Selenium,Test Automation; Unit Testing,6,4,2,33.33,66.67
63,Courtney Ayala,HR,HR Manager,Hris; Labor Law; Leadership; Performance Management; Talent Acquisition,Employee Relations,6,5,1,16.67,83.33
64,Tammy Ramirez,Support,Helpdesk,Customer Service; Hardware Support; Ticketing Systems,Active Directory; Windows Os,5,3,2,40.0,60.0
65,James Morgan,Sales,Account Manager,Account Planning; Contract Negotiation; Crm (Salesforce); Upselling,Client Retention,5,4,1,20.0,80.0
66,Cody Barker,Marketing,Content Lead,Content Strategy; Copywriting; Editorial Planning,Brand Storytelling; Seo; Team Leadership,6,3,3,50.0,50.0
67,David Smith,Sales,Sales Executive,B2B Sales; Communication; Contract Closing,Crm; Lead Generation; Negotiation,6,3,3,50.0,50.0
68,Amber Church,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Crm; Lead Generation,Negotiation,6,5,1,16.67,83.33
69,Tammy Perry,Sales,Account Manager,Account Planning; Client Retention; Contract Negotiation; Crm (Salesforce),Upselling,5,4,1,20.0,80.0
70,Sherry Cox,Finance,Accountant,Auditing; Erp Systems; Quickbooks; Tax Compliance,Excel; Financial Accounting,6,4,2,33.33,66.67
71,John Turner,HR,HR Executive,Communication; Hr Operations; Onboarding; Recruitment,Hris,5,4,1,20.0,80.0
72,Brian Boyle,Marketing,Content Lead,Brand Storytelling; Copywriting; Editorial Planning; Seo; Team Leadership,Content Strategy,6,5,1,16.67,83.33
73,Peggy Hawkins,IT,Developer,Docker; Python; Rest Apis; Sql,Git; System Design,6,4,2,33.33,66.67
74,Jared Montgomery,Sales,Sales Executive,B2B Sales; Communication; Negotiation,Contract Closing; Crm; Lead Generation,6,3,3,50.0,50.0
75,Thomas Clark,IT,Developer,Docker; Git; Rest Apis; Sql; System Design,Python,6,5,1,16.67,83.33
76,Kyle Moyer,HR,HR Manager,Employee Relations; Hris; Leadership; Performance Management,Labor Law; Talent Acquisition,6,4,2,33.33,66.67
77,Crystal Stevens,Sales,Sales Executive,B2B Sales; Communication; Crm; Lead Generation; Negotiation,Contract Closing,6,5,1,16.67,83.33
78,Austin Reynolds,Sales,Sales Executive,Contract Closing; Lead Generation; Negotiation,B2B Sales; Communication; Crm,6,3,3,50.0,50.0
79,Teresa Coleman,Marketing,Content Lead,Brand Storytelling; Content Strategy; Editorial Planning; Seo,Copywriting; Team Leadership,6,4,2,33.33,66.67
80,Maria Tucker,HR,HR Manager,Labor Law; Leadership; Performance Management; Talent Acquisition,Employee Relations; Hris,6,4,2,33.33,66.67
81,Louis Mcknight,Support,Helpdesk,Active Directory; Customer Service; Hardware Support; Windows Os,Ticketing Systems,5,4,1,20.0,80.0
82,Jerry Jones,IT,Engineer,Cloud Infrastructure; Linux; Security,Git; Networking; Python,6,3,3,50.0,50.0
83,Erik Liu,IT,Developer,Docker; Rest Apis; Sql; System Design,Git; Python,6,4,2,33.33,66.67
84,Cynthia Fritz,Finance,Auditor,Financial Analysis; Forensic Accounting; Internal Auditing,Compliance; Excel; Risk Assessment,6,3,3,50.0,50.0
85,Phillip Hayes,Sales,Sales Executive,Communication; Contract Closing; Lead Generation,B2B Sales; Crm; Negotiation,6,3,3,50.0,50.0
86,Jenny Lee,Sales,Sales Executive,Communication; Crm; Lead Generation; Negotiation,B2B Sales; Contract Closing,6,4,2,33.33,66.67
87,Jonathan Oliver,Support,Support Engineer,Itil; Linux; Sql; Troubleshooting,Bash Scripting; Customer Support,6,4,2,33.33,66.67
88,Cynthia Bradley,Marketing,Content Lead,Brand Storytelling; Copywriting; Editorial Planning; Seo; Team Leadership,Content Strategy,6,5,1,16.67,83.33
89,David Johnson,Marketing,SEO Analyst,Google Analytics; Google Search Console; Keyword Research; Technical Seo,Ahrefs / Semrush,5,4,1,20.0,80.0
90,Joan Smith,Finance,Auditor,Excel; Internal Auditing; Risk Assessment,Compliance; Financial Analysis; Forensic Accounting,6,3,3,50.0,50.0
91,Richard Fuller,IT,Tester,Jira; Selenium; Test Automation,Api Testing; Python; Unit Testing,6,3,3,50.0,50.0
92,Spencer Kennedy,Finance,Accountant,Auditing; Financial Accounting; Tax Compliance,Erp Systems; Excel; Quickbooks,6,3,3,50.0,50.0
93,Daniel Williams,Sales,Account Manager,Account Planning; Contract Negotiation; Crm (Salesforce),Client Retention; Upselling,5,3,2,40.0,60.0
94,Bonnie Robinson,Support,Helpdesk,Active Directory; Customer Service; Hardware Support,Ticketing Systems; Windows Os,5,3,2,40.0,60.0
95,Amy Bowers,Support,Support Engineer,Bash Scripting; Itil; Sql; Troubleshooting,Customer Support; Linux,6,4,2,33.33,66.67
96,Cody Jackson,Marketing,Content Lead,Content Strategy; Copywriting; Editorial Planning; Seo; Team Leadership,Brand Storytelling,6,5,1,16.67,83.33
97,Darlene Neal,HR,HR Manager,Employee Relations; Leadership; Talent Acquisition,Hris; Labor Law; Performance Management,6,3,3,50.0,50.0
98,Joshua Garcia,Marketing,Content Lead,Brand Storytelling; Content Strategy; Editorial Planning; Seo,Copywriting; Team Leadership,6,4,2,33.33,66.67
99,Peggy French,HR,HR Executive,Communication; Hr Operations; Hris; Recruitment,Onboarding,5,4,1,20.0,80.0
100,Sean Davis DDS,Sales,Account Manager,Account Planning; Crm (Salesforce); Upselling,Client Retention; Contract Negotiation,5,3,2,40.0,60.0
101,Denise Rush,HR,HR Manager,Employee Relations; Labor Law; Leadership; Performance Management; Talent Acquisition,Hris,6,5,1,16.67,83.33
102,Matthew Glenn,HR,HR Executive,Communication; Hr Operations; Hris; Onboarding,Recruitment,5,4,1,20.0,80.0
103,Kathleen Reed,Sales,Account Manager,Client Retention; Contract Negotiation; Crm (Salesforce); Upselling,Account Planning,5,4,1,20.0,80.0
104,Samuel Fletcher,Support,Support Engineer,Customer Support; Itil; Sql; Troubleshooting,Bash Scripting; Linux,6,4,2,33.33,66.67
105,Debra Holt,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics; Google Search Console,Keyword Research; Technical Seo,5,3,2,40.0,60.0
106,Jennifer Roberts,Finance,Accountant,Auditing; Erp Systems; Financial Accounting; Quickbooks,Excel; Tax Compliance,6,4,2,33.33,66.67
107,Kaitlyn Kramer,IT,Developer,Docker; Git; Rest Apis; Sql; System Design,Python,6,5,1,16.67,83.33
108,Paul Kennedy,HR,HR Executive,Hr Operations; Onboarding; Recruitment,Communication; Hris,5,3,2,40.0,60.0
109,Joshua Eaton,Support,Support Engineer,Customer Support; Itil; Linux; Sql,Bash Scripting; Troubleshooting,6,4,2,33.33,66.67
110,David Guerrero,IT,Developer,Docker; Git; Rest Apis; Sql; System Design,Python,6,5,1,16.67,83.33
111,Brian Wilson,Support,Helpdesk,Hardware Support; Ticketing Systems; Windows Os,Active Directory; Customer Service,5,3,2,40.0,60.0
112,Alexis Petty,IT,Engineer,Cloud Infrastructure; Git; Linux; Networking; Python,Security,6,5,1,16.67,83.33
113,David Matthews,IT,Developer,Docker; Git; Python; Rest Apis; Sql,System Design,6,5,1,16.67,83.33
114,Melissa Snyder,Support,Helpdesk,Active Directory; Customer Service; Hardware Support,Ticketing Systems; Windows Os,5,3,2,40.0,60.0
115,Dan Sullivan,Sales,Account Manager,Account Planning; Contract Negotiation; Upselling,Client Retention; Crm (Salesforce),5,3,2,40.0,60.0
116,Christine Burton,Support,Helpdesk,Active Directory; Customer Service; Hardware Support; Windows Os,Ticketing Systems,5,4,1,20.0,80.0
117,Daniel Thomas,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics; Google Search Console; Technical Seo,Keyword Research,5,4,1,20.0,80.0
118,Paige Ortiz,HR,HR Executive,Communication; Hr Operations; Hris; Onboarding,Recruitment,5,4,1,20.0,80.0
119,Brett Booth,Finance,Auditor,Financial Analysis; Internal Auditing; Risk Assessment,Compliance; Excel; Forensic Accounting,6,3,3,50.0,50.0
120,Christopher Stone,Sales,Sales Executive,Communication; Contract Closing; Crm; Lead Generation; Negotiation,B2B Sales,6,5,1,16.67,83.33
121,Larry Craig,IT,Developer,Docker; Python; Rest Apis; Sql; System Design,Git,6,5,1,16.67,83.33
122,William Lee,Support,Support Engineer,Bash Scripting; Customer Support; Itil; Linux; Troubleshooting,Sql,6,5,1,16.67,83.33
123,Vicki Young,Finance,Auditor,Excel; Financial Analysis; Internal Auditing; Risk Assessment,Compliance; Forensic Accounting,6,4,2,33.33,66.67
124,Tara Lloyd,IT,Engineer,Cloud Infrastructure; Git; Python,Linux; Networking; Security,6,3,3,50.0,50.0
125,Elizabeth Hunt,Finance,Accountant,Auditing; Excel; Financial Accounting; Quickbooks; Tax Compliance,Erp Systems,6,5,1,16.67,83.33
126,Jennifer Perkins,IT,Developer,Docker; Python; Rest Apis; System Design,Git; Sql,6,4,2,33.33,66.67
127,Amanda Martin,Sales,Sales Executive,B2B Sales; Communication; Contract Closing; Lead Generation; Negotiation,Crm,6,5,1,16.67,83.33
128,Michelle Christensen,HR,HR Executive,Communication; Onboarding; Recruitment,Hr Operations; Hris,5,3,2,40.0,60.0
129,Christina Romero,Support,Support Engineer,Customer Support; Itil; Linux; Sql,Bash Scripting; Troubleshooting,6,4,2,33.33,66.67
130,Leah Smith,IT,Tester,Api Testing; Python; Test Automation; Unit Testing,Jira; Selenium,6,4,2,33.33,66.67
131,Kenneth Jacobs,Support,Helpdesk,Active Directory; Customer Service; Hardware Support; Windows Os,Ticketing Systems,5,4,1,20.0,80.0
132,Robert Smith,HR,HR Executive,Communication; Hr Operations; Hris; Recruitment,Onboarding,5,4,1,20.0,80.0
133,Jamie Morgan,Finance,Auditor,Compliance; Excel; Financial Analysis; Forensic Accounting,Internal Auditing; Risk Assessment,6,4,2,33.33,66.67
134,Shaun Diaz,HR,HR Manager,Employee Relations; Labor Law; Leadership; Performance Management; Talent Acquisition,Hris,6,5,1,16.67,83.33
135,Christy Sanders,Marketing,Content Lead,Brand Storytelling; Content Strategy; Copywriting; Editorial Planning; Team Leadership,Seo,6,5,1,16.67,83.33
136,Gerald Simmons,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics; Keyword Research,Google Search Console; Technical Seo,5,3,2,40.0,60.0
137,Nathaniel Bryant II,Finance,Auditor,Compliance; Excel; Internal Auditing; Risk Assessment,Financial Analysis; Forensic Accounting,6,4,2,33.33,66.67
138,Krista Kennedy,IT,Engineer,Cloud Infrastructure; Git; Linux; Networking; Security,Python,6,5,1,16.67,83.33
139,Amanda Smith,IT,Developer,Docker; Git; Sql; System Design,Python; Rest Apis,6,4,2,33.33,66.67
140,Dawn Burnett,Sales,Account Manager,Account Planning; Contract Negotiation; Upselling,Client Retention; Crm (Salesforce),5,3,2,40.0,60.0
141,Linda Hernandez,IT,Tester,Jira; Python; Test Automation; Unit Testing,Api Testing; Selenium,6,4,2,33.33,66.67
142,Joshua Shaw,Sales,Account Manager,Account Planning; Client Retention; Crm (Salesforce),Contract Negotiation; Upselling,5,3,2,40.0,60.0
143,Timothy Andrade,Support,Helpdesk,Customer Service; Ticketing Systems; Windows Os,Active Directory; Hardware Support,5,3,2,40.0,60.0
144,Kelsey Nichols,Sales,Account Manager,Account Planning; Client Retention; Upselling,Contract Negotiation; Crm (Salesforce),5,3,2,40.0,60.0
145,Garrett Garcia,Support,Support Engineer,Itil; Linux; Troubleshooting,Bash Scripting; Customer Support; Sql,6,3,3,50.0,50.0
146,John Brown,HR,HR Manager,Employee Relations; Labor Law; Leadership; Performance Management; Talent Acquisition,Hris,6,5,1,16.67,83.33
147,Brian Foster,Sales,Account Manager,Account Planning; Contract Negotiation; Crm (Salesforce); Upselling,Client Retention,5,4,1,20.0,80.0
148,Daniel Lam,Sales,Account Manager,Account Planning; Client Retention; Contract Negotiation; Crm (Salesforce),Upselling,5,4,1,20.0,80.0
149,Antonio Myers,Support,Support Engineer,Bash Scripting; Customer Support; Itil; Sql; Troubleshooting,Linux,6,5,1,16.67,83.33
150,Mary Fowler,Marketing,Content Lead,Content Strategy; Editorial Planning; Seo; Team Leadership,Brand Storytelling; Copywriting,6,4,2,33.33,66.67
151,David Wright,HR,HR Executive,Communication; Hris; Onboarding,Hr Operations; Recruitment,5,3,2,40.0,60.0
152,Nancy Jones,Sales,Account Manager,Account Planning; Client Retention; Crm (Salesforce),Contract Negotiation; Upselling,5,3,2,40.0,60.0
153,Robert Stone,IT,Tester,Api Testing; Jira; Selenium; Unit Testing,Python; Test Automation,6,4,2,33.33,66.67
154,Kelli Ashley,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics; Google Search Console; Keyword Research,Technical Seo,5,4,1,20.0,80.0
155,Austin Middleton,HR,HR Executive,Communication; Hr Operations; Hris; Onboarding; Recruitment,,5,5,0,0.0,100.0
156,Aaron Franklin,IT,Developer,Docker; Python; Sql,Git; Rest Apis; System Design,6,3,3,50.0,50.0
157,Robert Sweeney,HR,HR Executive,Communication; Hr Operations; Hris; Onboarding,Recruitment,5,4,1,20.0,80.0
158,James Scott,Marketing,Content Lead,Brand Storytelling; Copywriting; Editorial Planning; Seo,Content Strategy; Team Leadership,6,4,2,33.33,66.67
159,Stephen Harris,Support,Support Engineer,Bash Scripting; Itil; Linux; Sql; Troubleshooting,Customer Support,6,5,1,16.67,83.33
160,Bryan Brown,Sales,Sales Executive,Communication; Contract Closing; Crm; Lead Generation; Negotiation,B2B Sales,6,5,1,16.67,83.33
161,James Harrison,Support,Helpdesk,Hardware Support; Windows Os,Active Directory; Customer Service; Ticketing Systems,5,2,3,60.0,40.0
162,Tracy Peterson,Finance,Accountant,Auditing; Excel; Financial Accounting; Tax Compliance,Erp Systems; Quickbooks,6,4,2,33.33,66.67
163,Juan Garcia,HR,HR Executive,Communication; Hr Operations; Hris; Recruitment,Onboarding,5,4,1,20.0,80.0
164,Carrie Huber,HR,HR Manager,Employee Relations; Hris; Labor Law; Leadership,Performance Management; Talent Acquisition,6,4,2,33.33,66.67
165,Craig Rodgers,IT,Tester,Api Testing; Jira; Python; Selenium; Unit Testing,Test Automation,6,5,1,16.67,83.33
166,Jonathan Jones,IT,Tester,Jira; Test Automation; Unit Testing,Api Testing; Python; Selenium,6,3,3,50.0,50.0
167,Miss Erin Campbell,HR,HR Manager,Employee Relations; Hris; Talent Acquisition,Labor Law; Leadership; Performance Management,6,3,3,50.0,50.0
168,Brian Thomas,HR,HR Executive,Communication; Hr Operations; Hris; Recruitment,Onboarding,5,4,1,20.0,80.0
169,Joshua Crawford,Support,Support Engineer,Bash Scripting; Itil; Sql; Troubleshooting,Customer Support; Linux,6,4,2,33.33,66.67
170,Rebecca Thomas,Sales,Account Manager,Account Planning; Contract Negotiation,Client Retention; Crm (Salesforce); Upselling,5,2,3,60.0,40.0
171,Olivia Villarreal,Marketing,SEO Analyst,Ahrefs / Semrush; Google Analytics; Google Search Console; Technical Seo,Keyword Research,5,4,1,20.0,80.0
172,Mr. Ricardo Compton DDS,HR,HR Manager,Employee Relations; Hris; Labor Law; Leadership; Talent Acquisition,Performance Management,6,5,1,16.67,83.33
173,Cory Preston,Support,Support Engineer,Customer Support; Linux; Sql; Troubleshooting,Bash Scripting; Itil,6,4,2,33.33,66.67
174,Teresa Kirk,Marketing,Content Lead,Brand Storytelling; Content Strategy; Copywriting; Editorial Planning; Seo,Team Leadership,6,5,1,16.67,83.33
175,Rachel Long,Marketing,SEO Analyst,Ahrefs / Semrush; Google Search Console; Technical Seo,Google Analytics; Keyword Research,5,3,2,40.0,60.0
176,Michael Wallace,Support,Helpdesk,Active Directory; Ticketing Systems; Windows Os,Customer Service; Hardware Support,5,3,2,40.0,60.0
177,Ian Malone,Support,Helpdesk,Active Directory; Windows Os,Customer Service; Hardware Support; Ticketing Systems,5,2,3,60.0,40.0
178,Mark Rodriguez,Sales,Account Manager,Account Planning; Client Retention; Contract Negotiation; Crm (Salesforce),Upselling,5,4,1,20.0,80.0
179,Ashley Owen,Marketing,SEO Analyst,Google Analytics; Google Search Console; Keyword Research,Ahrefs / Semrush; Technical Seo,5,3,2,40.0,60.0
180,Barbara Stokes,Support,Helpdesk,Active Directory; Customer Service; Ticketing Systems; Windows Os,Hardware Support,5,4,1,20.0,80.0
181,Veronica Chapman,Support,Helpdesk,Customer Service; Ticketing Systems; Windows Os,Active Directory; Hardware Support,5,3,2,40.0,60.0
182,Emily Gonzalez,Support,Support Engineer,Customer Support; Itil; Linux; Sql; Troubleshooting,Bash Scripting,6,5,1,16.67,83.33
183,Colton Weaver,Sales,Account Manager,Client Retention; Crm (Salesforce); Upselling,Account Planning; Contract Negotiation,5,3,2,40.0,60.0
184,Samuel Boyd,Finance,Auditor,Compliance; Financial Analysis; Forensic Accounting; Risk Assessment,Excel; Internal Auditing,6,4,2,33.33,66.67
185,Sarah Bennett,Sales,Sales Executive,Communication; Contract Closing; Lead Generation,B2B Sales; Crm; Negotiation,6,3,3,50.0,50.0
186,Jane Carroll,IT,Developer,Docker; Git; Python; Rest Apis; Sql,System Design,6,5,1,16.67,83.33
187,Zachary Guzman,Support,Support Engineer,Itil; Linux; Troubleshooting,Bash Scripting; Customer Support; Sql,6,3,3,50.0,50.0
188,Michael Martin,Support,Support Engineer,Bash Scripting; Customer Support; Itil; Linux; Troubleshooting,Sql,6,5,1,16.67,83.33
189,Julie Stafford,Finance,Accountant,Erp Systems; Excel; Tax Compliance,Auditing; Financial Accounting; Quickbooks,6,3,3,50.0,50.0
190,Dylan Hansen MD,Finance,Auditor,Compliance; Financial Analysis; Forensic Accounting; Internal Auditing; Risk Assessment,Excel,6,5,1,16.67,83.33
191,Michael Rangel,HR,HR Executive,Communication; Hr Operations; Recruitment,Hris; Onboarding,5,3,2,40.0,60.0
192,Bryan Brock,IT,Engineer,Cloud Infrastructure; Git; Networking; Security,Linux; Python,6,4,2,33.33,66.67
193,Alison Cunningham,Support,Support Engineer,Bash Scripting; Customer Support; Sql; Troubleshooting,Itil; Linux,6,4,2,33.33,66.67
194,Sarah Lawson,Finance,Auditor,Compliance; Excel; Financial Analysis; Forensic Accounting; Internal Auditing,Risk Assessment,6,5,1,16.67,83.33
195,Patrick Daniels,Support,Helpdesk,Active Directory; Customer Service; Windows Os,Hardware Support; Ticketing Systems,5,3,2,40.0,60.0
196,Kimberly Perkins,HR,HR Manager,Hris; Labor Law; Leadership; Performance Management; Talent Acquisition,Employee Relations,6,5,1,16.67,83.33
197,John Thomas,HR,HR Executive,Communication; Hr Operations; Hris,Onboarding; Recruitment,5,3,2,40.0,60.0
198,Frank Smith,Finance,Accountant,Auditing; Erp Systems; Excel; Financial Accounting; Quickbooks,Tax Compliance,6,5,1,16.67,83.33
199,Christopher Cooper,IT,Tester,Api Testing; Jira; Selenium; Unit Testing,Python; Test Automation,6,4,2,33.33,66.67
200,Kelly Jackson,IT,Engineer,Git; Networking; Security,Cloud Infrastructure; Linux; Python,6,3,3,50.0,50.0
201,Alexandra Johnson,Finance,Accountant,Auditing; Erp Systems; Excel; Quickbooks; Tax Compliance,Financial Accounting,6,5,1,16.67,83.33
202,Leslie Zimmerman,Finance,Accountant,Auditing; Erp Systems; Excel; Financial Accounting; Tax Compliance,Quickbooks,6,5,1,16.67,83.33
